Matram,longitude,latitude,Z.Elev,Date,Salinity,CL,CL_ppt,Dist_to_TanChau_km,River_Dist_km,Travel_Time_Days,WaterLevel_Mean,WaterLevel_Max,WaterLevel_Min,WL_Mean_3D_Lag,WL_Mean_7D_Lag,Month_sin,Month_cos,Day_sin,Day_cos
QLPH112022,105.29,9.64,0.47,2022-03-05,4.8,2656.9981456367104,,128.98284276067207,167.6776955888737,3,1.43,1.43,1.43,0.9833333333333334,0.6271428571428574,1.0,6.123233995736766e-17,0.8919813464595485,0.45207220393230435
QLPH112022,105.29,9.64,0.47,2022-03-19,5.2,2878.4146577731035,,128.98284276067207,167.6776955888737,3,0.9,0.9,0.9,0.41999999999999993,0.20285714285714324,1.0,6.123233995736766e-17,0.9741004551724205,0.22611568550828828
QLPH112022,105.29,9.64,0.47,2022-04-03,7.1,3930.143090420968,,128.98284276067207,167.6776955888737,3,1.29,1.29,1.29,0.6666666666666665,0.29857142857142893,0.8660254037844387,-0.4999999999999998,0.9995462806873573,-0.030120304846908114
QLPH112022,105.29,9.64,0.47,2022-04-17,6.2,3431.955938114085,,128.98284276067207,167.6776955888737,3,0.71,0.71,0.71,0.21333333333333315,0.17142857142857176,0.8660254037844387,-0.4999999999999998,0.9634705485641488,-0.2678143051621742
QLPH112022,105.29,9.64,0.47,2022-05-03,5.8,3210.539425977692,,128.98284276067207,167.6776955888737,3,0.92,0.92,0.92,0.8199999999999998,0.3971428571428575,0.49999999999999994,-0.8660254037844387,0.854322169749827,-0.5197438121555155
QLPH112022,105.29,9.64,0.47,2022-05-17,5.1,2823.0605297390052,,128.98284276067207,167.6776955888737,3,1.12,1.12,1.12,0.5066666666666665,0.3400000000000003,0.49999999999999994,-0.8660254037844387,0.705583610107178,-0.7086266782644596
QLPH112022,105.29,9.64,0.47,2022-06-01,3.1,1715.9779690570424,,128.98284276067207,167.6776955888737,3,1.24,1.24,1.24,1.013333333333333,0.5942857142857145,1.2246467991473532e-16,-1.0,0.5012418134457758,-0.865307254363206
QLPH112022,105.29,9.64,0.47,2022-06-15,4.0,2214.1651213639257,,128.98284276067207,167.6776955888737,3,1.34,1.34,1.34,0.7066666666666664,0.5014285714285718,1.2246467991473532e-16,-1.0,0.28023067519921585,-0.9599326896597447
QLPH122017,105.51,9.58,0.33,2017-03-01,0.1,24.815,0.024815,139.81742122732834,181.76264759552686,4,1.06,1.06,1.06,0.8399999999999999,0.6685714285714285,1.0,6.123233995736766e-17,0.8587639582758029,0.5123714121284237
QLPH122017,105.51,9.58,0.33,2017-03-16,0.8,16.0,0.016,139.81742122732834,181.76264759552686,4,1.04,1.04,1.04,1.0366666666666664,0.7928571428571429,1.0,6.123233995736766e-17,0.9611297838723007,0.27609697309746883
QLPH122017,105.51,9.58,0.33,2017-04-01,1.7,365.0,0.365,139.81742122732834,181.76264759552686,4,1.17,1.17,1.17,1.0433333333333332,0.7700000000000001,0.8660254037844387,-0.4999999999999998,0.9999907397361901,0.004303538296244289
QLPH122017,105.51,9.58,0.33,2017-04-15,0.2,42.5,0.0425,139.81742122732834,181.76264759552686,4,0.98,0.98,0.98,1.1199999999999999,0.9771428571428571,0.8660254037844387,-0.4999999999999998,0.9721181966290613,-0.23449138957040985
QLPH122017,105.51,9.58,0.33,2017-05-01,0.3,4.2,0.004200000000000001,139.81742122732834,181.76264759552686,4,1.03,1.03,1.03,1.0199999999999998,0.7314285714285714,0.49999999999999994,-0.8660254037844387,0.8717063187093218,-0.4900286664290592
QLPH122017,105.51,9.58,0.33,2017-05-15,0.2,3.2,0.0032,139.81742122732834,181.76264759552686,4,1.07,1.07,1.07,1.1233333333333333,0.8785714285714287,0.49999999999999994,-0.8660254037844387,0.7295575540864875,-0.6839194216246106
QLPH122017,105.51,9.58,0.33,2017-06-01,0.2,35.1,0.0351,139.81742122732834,181.76264759552686,4,0.8200000000000001,0.8200000000000001,0.8200000000000001,1.2333333333333334,1.0985714285714285,1.2246467991473532e-16,-1.0,0.5012418134457758,-0.865307254363206
QLPH122017,105.51,9.58,0.33,2017-06-15,0.1,34.2,0.0342,139.81742122732834,181.76264759552686,4,0.91,0.91,0.91,1.1433333333333333,1.1071428571428572,1.2246467991473532e-16,-1.0,0.28023067519921585,-0.9599326896597447
QLPH122019,105.51,9.58,0.33,2019-01-01,0.2,24.66,0.02466,139.81742122732834,181.76264759552686,4,0.6900000000000001,0.6900000000000001,0.6900000000000001,0.8099999999999997,1.1471428571428572,0.49999999999999994,0.8660254037844387,0.017213356155834685,0.9998518392091162
QLPH122019,105.51,9.58,0.33,2019-01-15,0.030602957000000004,16.94,0.01694,139.81742122732834,181.76264759552686,4,0.48,0.48,0.48,0.9666666666666663,1.215714285714286,0.49999999999999994,0.8660254037844387,0.255353295116187,0.9668478136052775
QLPH122019,105.51,9.58,0.33,2019-02-01,0.051125365000000006,28.3,0.028300000000000002,139.81742122732834,181.76264759552686,4,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.6599999999999997,1.0285714285714287,0.8660254037844386,0.5000000000000001,0.5234156073655503,0.8520775211013093
QLPH122019,105.51,9.58,0.33,2019-02-19,0.007912689,4.38,0.00438,139.81742122732834,181.76264759552686,4,0.62,0.62,0.62,0.41999999999999965,0.28000000000000014,0.8660254037844386,0.5000000000000001,0.7583058084785624,0.6518989958787126
QLPH122019,105.51,9.58,0.33,2019-03-04,0.058712875000000005,32.5,0.0325,139.81742122732834,181.76264759552686,4,0.68,0.68,0.68,0.2999999999999997,0.3857142857142858,1.0,6.123233995736766e-17,0.8840675099433636,0.4673592171580022
QLPH122019,105.51,9.58,0.33,2019-03-20,0.043537855,24.1,0.0241,139.81742122732834,181.76264759552686,4,0.72,0.72,0.72,0.2899999999999997,0.24142857142857158,1.0,6.123233995736766e-17,0.9778483415056568,0.20931464596304847
QLPH122019,105.51,9.58,0.33,2019-04-01,0.2,42.42,0.04242,139.81742122732834,181.76264759552686,4,0.44,0.44,0.44,0.3066666666666665,0.6057142857142858,0.8660254037844387,-0.4999999999999998,0.9999907397361901,0.004303538296244289
QLPH122019,105.51,9.58,0.33,2019-04-15,0.3,61.74,0.06174,139.81742122732834,181.76264759552686,4,0.1,0.1,0.1,0.28999999999999987,0.6785714285714287,0.8660254037844387,-0.4999999999999998,0.9721181966290613,-0.23449138957040985
QLPH122019,105.51,9.58,0.33,2019-05-01,0.3,65.12,0.06512000000000001,139.81742122732834,181.76264759552686,4,0.37,0.37,0.37,0.25999999999999984,0.47571428571428587,0.49999999999999994,-0.8660254037844387,0.8717063187093218,-0.4900286664290592
QLPH122019,105.51,9.58,0.33,2019-05-15,0.2,42.32,0.04232,139.81742122732834,181.76264759552686,4,0.29,0.29,0.29,0.09333333333333316,0.46714285714285725,0.49999999999999994,-0.8660254037844387,0.7295575540864875,-0.6839194216246106
QLPH122020,105.51,9.58,0.33,2020-02-11,4.6,2446.5,2.4465,139.81742122732834,181.76264759552686,4,0.92,0.92,0.92,0.5499999999999997,0.442857142857143,0.8660254037844386,0.5000000000000001,0.6616346182422783,0.7498264012045686
QLPH122020,105.51,9.58,0.33,2020-02-25,1.52,125.0,0.125,139.81742122732834,181.76264759552686,4,1.12,1.12,1.12,0.6999999999999997,0.31571428571428584,0.8660254037844386,0.5000000000000001,0.8214765533024142,0.5702422926917871
QLPH122020,105.51,9.58,0.33,2020-03-14,0.6,315.55,0.31555,139.81742122732834,181.76264759552686,4,1.03,1.03,1.03,0.8599999999999998,0.4400000000000001,1.0,6.123233995736766e-17,0.9562348265919056,0.29260033563334836
QLPH122020,105.51,9.58,0.33,2020-03-26,0.8,691.275,0.691275,139.81742122732834,181.76264759552686,4,0.86,0.86,0.86,0.19999999999999982,0.0942857142857144,1.0,6.123233995736766e-17,0.995918996147179,0.09025161003104117
